42,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CN=C(C(NC(C)C)=O)C(C)=C3)=NO2)=C1,,,,,,,,,,1,0.215,,
43,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CN=C(C(NCC(F)(F)F)=O)C(C)=C3)=NO2)=C1,,,,,,,,,,1,0.165,,
44,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CN=C(C(NC4CSC4)=O)C(C)=C3)=NO2)=C1,,,,,,,,,,1,0.012,,
45,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CN=C(C(NCCS(=O)(C)=O)=O)C(C)=C3)=NO2)=C1,,,,,,,,,,1,0.601,,
46,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CN=C(C(NCCOC)=O)C(C)=C3)=NO2)=C1,,,,,,,,,,1,0.617,,
47,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NC)=O)=O)=NO2)=C1,,,20,,,,,,,0,,,杨
48,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NCC)=O)=O)=NO2)=C1,,,100,,,,,,,1,3.88,,
49,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NC(C)(C)C)=O)=O)=NO2)=C1,,,0,,,,,,,0,,,
50,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NCC(F)(F)F)=O)=O)=NO2)=C1,,,0,,,,,,,0,,,
51,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NC4CC4)=O)=O)=NO2)=C1,,,30,,,,,,,0,,,
52,ClC1=CC(Cl)=CC(C2(C(F)(F)F)CC(C3=CC=C(C=C3)NC(CC(NC4(C#N)CC4)=O)=O)=NO2)=C1,,,0,,,,,,,0,,,
